TF	Experiment	cellLine
FOXA1	GSM2797129	unknown
EWSR1	GSM2666476	unknown
EP300	GSM1703917	unknown
CDK7	GSM1463939	unknown
GABPA	GSM803524	unknown
POLR2A	GSM1416816	unknown
BRD3	GSM1247831	unknown
POLR2A	GSM803366	unknown
ZMYND8	GSM2171413	unknown
ZNF589	ENCSR603XLW_2	K562
ESR1	GSM1669045	unknown
CTCF	GSM1233979	unknown
CREB1	GSM1538429	unknown
POLR2A	GSM748548	unknown
ZNF341	ENCSR185FOY_1	HEK293
KLF13	ENCSR608HVP_2	K562
SMC1A	GSM897120	unknown
BCL3	ENCSR673OGC_1	unknown
CTCF	GSM733765	unknown
CTCF	GSM1003474	unknown
ESR1	GSM2797074	unknown
AR	GSM2412293	unknown
CDX2	GSM791413	unknown
TAF1	GSM1010770	unknown
STAT1	GSM935612	unknown
ZEB1	GSM1574278	unknown
KMT2D	GSM1644615	unknown
USF1	GSM1010806	unknown
POLR2A	GSM2676807	unknown
BRD4	GSM1961565	unknown
POLR2A	GSM1354549	unknown
SOX2	GSM896986	unknown
POLR2A	GSM1679097	unknown
PR	GSM1669116	unknown
CBX8	GSM1383875	unknown
EP300	GSM1442789	unknown
CTCF	GSM1234061	unknown
RB1	GSM497493	unknown
SMAD1	GSM722416	unknown
AHR	GSM1024799	unknown
CEBPB	ENCSR752AQK_1	unknown
ZEB1	GSM803411	unknown
KMT2D	GSM1846903	unknown
CEBPB	ENCSR216GEB_1	unknown
CDX2	GSM2560479	unknown
CDK9	GSM1494447	unknown
CEBPB	ENCSR216GEB_2	unknown
GRHL2	GSM2171836	unknown
BRD4	GSM1305201	unknown
FOXA1	GSM1534739	unknown
RAD21	GSM1239585	unknown
BATF	GSM2574766	unknown
RXRA	GSM803452	unknown
NCOR1	GSM865744	unknown
CTCF	GSM803348	unknown
BRD4	GSM2265638	unknown
ESR1	GSM2747696	unknown
ERF	GSM2612449	unknown
HDAC1	GSM830994	unknown
RAD21	GSM1003628	unknown
AR	GSM1327871	unknown
CHD7	GSM1003478	unknown
NR3C1	GSM2519948	unknown
POLR2A	GSM935323	unknown
STAG1	GSM1234238	unknown
POLR2A	GSM1866693	unknown
POLR2A	GSM1892289	unknown
MYC	GSM1618028	unknown
RPE	GSM2865075	unknown
POLR2A	GSM486497	unknown
POLR2A	GSM486495	unknown
EZH2	GSM1129363	unknown
POLR2A	GSM2304868	unknown
NR2C2	GSM935369	unknown
POLR2A	GSM803368	unknown
GTF2I	GSM1539073	unknown
GATA3	GSM1469993	unknown
CTCF	GSM1224652	unknown
STAT5B	GSM1577749	unknown
RAD21	GSM2214117	unknown
FOS	GSM935396	unknown
CTCF	GSM1939276	unknown
POLR3D	GSM1906346	unknown
SOX13	ENCSR445ACU_1	HepG2
POLR2A	GSM1905393	unknown
MED1	GSM2802951	unknown
BRD4	GSM2635251	unknown
NR3C1	GSM2095210	unknown
PCGF2	GSM1340091	unknown
MAF	GSM2592803	unknown
STAT1	GSM385508	unknown
EP300	GSM1003514	unknown
KDM2B	GSM2212236	unknown
AR	GSM1909089	unknown
HDAC1	GSM2026060	unknown
BRD4	GSM2676812	unknown
EP300	GSM898055	unknown
AR	GSM1274872	unknown
CTCF	GSM749753	unknown
MBD3	GSM1974448	unknown
RUNX1	GSM850824	unknown
ZEB2	ENCSR004GKA_2	K562
ZBTB48	GSM2543161	unknown
FOXK2	ENCSR171FUX_1	HepG2
RELA	GSM935281	unknown
POLR2A	GSM1231604	unknown
SUMO2	GSM1622622	unknown
RELA	GSM1643956	unknown
ZBTB33	GSM1334010	unknown
E2F7	GSM991662	unknown
SMC3	GSM935384	unknown
KLF1	GSM1067275	unknown
POLR2A	GSM1446926	unknown
TFAP2A	GSM1817197	unknown
FOXA1	GSM803409	unknown
ATF4	GSM1684638	unknown
ZFX	GSM2741769	unknown
MAFK	GSM935311	unknown
IRF1	GSM1239465	unknown
POLR2M	GSM802744	unknown
SMC3	GSM1240826	unknown
ZNF317	GSM2466528	unknown
ESRRA	GSM1969223	unknown
FOSL2	GSM1010768	unknown
ZNF83	ENCSR257XVY_2	K562
ESR1	GSM1003720	unknown
PML	GSM468203	unknown
MYC	GSM748541	unknown
ERG	GSM1122314	unknown
CTCF	GSM624077	unknown
PPARG	GSM1571733	unknown
MYC	GSM1599963	unknown
ZNF664	ENCSR714LZQ_1	HEK293
BRD4	GSM1893936	unknown
SMC1A	GSM2493883	unknown
ESR1	GSM2257819	unknown
RUNX1	GSM607951	unknown
SMC1A	GSM2040047	unknown
FOXM1	GSM1464021	unknown
POLR2A	GSM486494	unknown
POLR2A	GSM1022947	unknown
CHD8	GSM1526892	unknown
CTCF	GSM2747766	unknown
KDM5A	GSM2131193	unknown
ESR1	GSM1469980	unknown
CTCF	GSM1022651	unknown
SOX2	GSM1701828	unknown
AR	GSM2393835	unknown
FAIRE	GSM748519	unknown
POLR2A	GSM1035428	unknown
POLR2A	GSM1214682	unknown
TAF1	GSM803455	unknown
ESR1	GSM811214	unknown
BRD4	GSM2058673	unknown
POLR2A	GSM897115	unknown
POLR2A	GSM1727104	unknown
DPF2	ENCSR715CCR_2	K562
YY1	GSM2597227	unknown
CTCF	GSM1234216	unknown
RELA	GSM935282	unknown
MYC	GSM1242269	unknown
ZNF680	GSM2466629	unknown
NR3C1	GSM1516132	unknown
NFATC1	GSM1010779	unknown
TSHZ1	ENCSR217WRC_1	HEK293
TCF21	GSM1503214	unknown
KDM1A	GSM1542270	unknown
NR2F2	ENCSR338MMB_2	liver
AR	GSM1207915	unknown
ZNF423	ENCSR477OJI_1	HEK293
GATA1	GSM1278240	unknown
STAT3	GSM2278004	unknown
PHF8	GSM831008	unknown
ESR1	GSM798386	unknown
CHD1	GSM935301	unknown
POLR2A	GSM486478	unknown
CTCF	GSM1006887	unknown
POLR2A	GSM1231603	unknown
POLR2A	GSM2519952	unknown
PPARG	GSM1571734	unknown
SPIB	GSM1370289	unknown
ESR1	GSM1669145	unknown
YY1	GSM803406	unknown
ZBTB11	ENCSR706BJO_2	K562
CTCF	GSM1006875	unknown
BRD4	GSM2359459	unknown
ESR1	GSM1669135	unknown
OTX2	GSM1521760	unknown
KDM2B	GSM1612054	unknown
ATF3	GSM2151904	unknown
RBL2	GSM497495	unknown
MAX	GSM894099	unknown
CTCF	GSM1022628	unknown
RXRA	GSM791405	unknown
KDM5C	GSM1889903	unknown
TAL1	GSM722165	unknown
RAD21	GSM1861942	unknown
GATA4	GSM2430676	unknown
GTF2I	GSM1539057	unknown
CTCF	GSM749710	unknown
BCL3	ENCSR215UXN_2	unknown
POLR2A	GSM2550252	unknown
POLR2A	GSM2670979	unknown
POLR2A	GSM748528	unknown
POLR2A	GSM1480369	unknown
AR	GSM1164151	unknown
AR	GSM2612456	unknown
POLR2A	GSM803485	unknown
CEBPB	ENCSR606ZTC_2	unknown
POLR2A	GSM2151651	unknown
SOX4	GSM1970164	unknown
IRF4	GSM1370274	unknown
CHD4	GSM2579161	unknown
KLF11	GSM1443814	unknown
RNF2	GSM585232	unknown
ZNF781	ENCSR777YSB_1	unknown
BRD3	GSM1247829	unknown
NELFE	GSM2151631	unknown
POLR2A	GSM2055563	unknown
JMJD1C	GSM1550646	unknown
RYBP	GSM855008	unknown
MYC	GSM935466	unknown
EP300	GSM1122317	unknown
CTCF	GSM1234011	unknown
JUN	GSM1614036	unknown
CTCF	GSM2247249	unknown
MAZ	GSM935283	unknown
FOXK2	ENCSR302AWT_2	K562
KDM6B	GSM1348338	unknown
CTCF	ENCSR515LRI_1	suprapubic
POLR2A	GSM2519957	unknown
POLR2A	GSM1035437	unknown
RELA	GSM486319	unknown
POLR2A	GSM1480366	unknown
FOXA1	GSM2144761	unknown
CTCF	GSM1782700	unknown
MYB	GSM1519635	unknown
UBTF	GSM935338	unknown
ESR1	GSM1556929	unknown
NIPBL	GSM2443454	unknown
GLI2	GSM2779056	unknown
FOSL1	GSM803382	unknown
CHD7	GSM1506078	unknown
ESR1	GSM1858635	unknown
ZNF778	GSM2026850	unknown
CTCFL	GSM1817659	unknown
OTX2	GSM1505706	unknown
EP300	ENCSR047EVQ_2	unknown
RUNX1	GSM2179743	unknown
NEUROG2	GSM1970159	unknown
RNF2	GSM585230	unknown
CREM	ENCSR903ELW_2	HepG2
NFATC1	GSM1208345	unknown
POLR2A	GSM894090	unknown
POLR2A	GSM2643545	unknown
IKZF1	ENCSR874AFU_1	GM12878
MAX	GSM754333	unknown
TEAD4	GSM1010860	unknown
RCOR1	GSM1003612	unknown
TTF2	GSM891233	unknown
BRD4	GSM1845167	unknown
ESR1	GSM2242426	unknown
FOXA1	GSM1463462	unknown
CEBPB	ENCSR447ZMS_2	unknown
MLLT1	ENCSR675LRO_2	K562
STAT2	GSM935469	unknown
SP1	GSM2065875	unknown
SRF	GSM1505772	unknown
CTCF	GSM631476	unknown
CTCF	GSM822311	unknown
NELFE	GSM1482881	unknown
PRDM11	GSM1354547	unknown
HDAC2	GSM830996	unknown
AR	GSM1207887	unknown
POLR2A	GSM1278002	unknown
EP300	GSM835863	unknown
SUMO2	GSM1622624	unknown
NFIA	GSM2574788	unknown
NEUROG2	GSM1970152	unknown
TAL1	GSM1038697	unknown
YY1	GSM779433	unknown
RELA	GSM935279	unknown
ESR1	GSM2467302	unknown
MITF	GSM1226224	unknown
ESR1	GSM2648922	unknown
MYC	GSM1907203	unknown
RXRA	GSM791406	unknown
RBPJ	GSM1958041	unknown
POLR2A	GSM1330729	unknown
RNF2	ENCSR523XCR_2	HepG2
POLR2A	GSM2571045	unknown
SMAD3	GSM539548	unknown
ATF1	ENCSR091GVJ_1	K562
C11orf30	ENCSR350XWY_2	K562
ZBTB11	ENCSR706BJO_1	K562
ESR1	GSM2040043	unknown
ZBTB48	GSM2543158	unknown
ATF3	GSM803503	unknown
BCLAF1	GSM803509	unknown
CTCF	GSM325895	unknown
RAD21	GSM2486814	unknown
HEXIM1	GSM1661555	unknown
CTCF	GSM1006873	unknown
PRDM1	GSM935555	unknown
POLR2A	GSM2442782	unknown
ETS1	GSM1424526	unknown
MCM7	ENCSR542WJU_1	K562
ESR1	GSM1643948	unknown
IKZF1	ENCSR395HWC_1	K562
FOS	GSM659789	unknown
GTF3C5	GSM2082060	unknown
ATF1	ENCSR159OCC_1	K562
PIAS1	GSM2219868	unknown
ESR1	GSM631464	unknown
JUND	GSM935434	unknown
CTCF	GSM624079	unknown
RARG	GSM1469990	unknown
ZNF639	ENCSR080CST_2	HEK293
CTCF	GSM1267210	unknown
STAT3	GSM2278000	unknown
EP300	GSM1669031	unknown
CDK8	GSM1587917	unknown
POLR2A	GSM2467775	unknown
OTX2	GSM1567046	unknown
EP300	GSM1239069	unknown
CTCF	GSM749741	unknown
ARRB1	GSM1340254	unknown
SMC1A	GSM941711	unknown
ATF3	GSM1010757	unknown
AR	GSM1717863	unknown
ZBTB40	ENCSR237VLT_2	K562
KDM6B	GSM1366932	unknown
POLR2A	GSM820535	unknown
CEBPA	GSM1333970	unknown
SIX1	GSM1904600	unknown
IKZF1	ENCSR948VFL_1	K562
ZNF382	GSM2026859	unknown
SUMO2	GSM1622616	unknown
LEF1	ENCSR343ELW_2	K562
FOXA1	GSM1863005	unknown
RYBP	GSM2805870	unknown
ELF1	GSM1517560	unknown
NR3C1	GSM2735378	unknown
MED1	GSM894109	unknown
ATF3	ENCSR205FOW_1	liver
POLR2A	GSM1059395	unknown
STAT2	GSM1239540	unknown
CTCF	GSM1234181	unknown
REST	GSM803365	unknown
EP300	GSM1442790	unknown
BRD4	GSM1305203	unknown
PTTG1	ENCSR314BBS_1	K562
CTCF	GSM1006886	unknown
ASCL1	GSM1499403	unknown
EHMT2	GSM1644669	unknown
AFF1	GSM2364547	unknown
TCF7L1	GSM1082309	unknown
VDR	GSM2371453	unknown
CTCF	GSM822299	unknown
NANOG	GSM1505695	unknown
POLR2A	GSM486507	unknown
JUNB	GSM777638	unknown
CHD4	GSM2579160	unknown
ZNF140	ENCSR464KFG_1	HEK293
PHF8	GSM1003509	unknown
BRD4	GSM1022944	unknown
BRD4	GSM1296634	unknown
EP300	GSM1333965	unknown
CTCF	GSM2747717	unknown
ELK1	GSM608163	unknown
EBF1	GSM1958039	unknown
POLR2A	GSM486468	unknown
POLR2A	GSM1240002	unknown
KLF9	ENCSR125ZYC_1	MCF-7
ATF4	GSM1697346	unknown
CDK9	GSM1866698	unknown
IKZF1	GSM1420194	unknown
REST	GSM1290165	unknown
CTCF	GSM2747767	unknown
KDM2B	GSM1612069	unknown
SPDEF	GSM1187120	unknown
PAF1	GSM1727097	unknown
FOXA1	GSM1010826	unknown
HOXB13	GSM1716764	unknown
ESR1	GSM1198714	unknown
RAD21	GSM2297328	unknown
RELA	GSM2103051	unknown
GFI1B	ENCSR445PDR_2	HEK293
PML	GSM468205	unknown
SMARCA4	GSM1517754	unknown
POLR2A	GSM1224787	unknown
RXRA	GSM1010767	unknown
DEK	ENCSR219MKK_2	HeLa-S3
FAIRE	GSM1327353	unknown
POLR2A	GSM2113334	unknown
FOXA1	GSM631472	unknown
SMC1A	GSM2040034	unknown
KDM1A	GSM1542269	unknown
CTCF	GSM1233887	unknown
CTCF	GSM1505625	unknown
MITF	GSM1226221	unknown
SPI1	GSM2359983	unknown
SREBF1	ENCSR197DJH_1	MCF-7
MYC	GSM762710	unknown
POLR2A	GSM1846781	unknown
ATF1	ENCSR091GVJ_2	K562
CTCF	ENCSR549WAU_1	stomach
POLR2A	GSM1587897	unknown
GABP	ENCSR269TNX_2	HepG2
GFI1B	GSM1278242	unknown
MBD2	GSM1544114	unknown
WDR5	GSM1717083	unknown
ELF1	ENCSR502OEK_2	K562
MED1	GSM894081	unknown
SMARCA4	ENCSR587OQL_1	K562
CTCF	GSM1910998	unknown
RUNX1	GSM2326836	unknown
MAZ	GSM2026792	unknown
ATF4	GSM1684648	unknown
POLR2A	GSM1330727	unknown
ETS1	GSM1009648	unknown
EBF3	GSM2410319	unknown
EP300	GSM1669026	unknown
CTCF	GSM1022668	unknown
CUX1	GSM1003622	unknown
STAT1	GSM385505	unknown
FOSL2	ENCSR274WRI_2	unknown
POLR2A	GSM2333818	unknown
RBL2	GSM497494	unknown
REST	GSM1010749	unknown
EHMT2	GSM1644659	unknown
SIN3A	GSM1010862	unknown
USF2	GSM1698354	unknown
CTCF	GSM1006869	unknown
IRF1	GSM1057025	unknown
ETS1	GSM1056932	unknown
CTCF	GSM935404	unknown
NFE2	GSM935414	unknown
TCF4	GSM2545830	unknown
HDAC3	GSM2302871	unknown
SP1	GSM2065877	unknown
CTCF	GSM1335528	unknown
SETDB1	GSM1003452	unknown
POLR2A	GSM1503827	unknown
AR	GSM696841	unknown
E2F1	GSM2046834	unknown
EOMES	GSM640691	unknown
RELA	GSM847877	unknown
RUNX1	GSM1534441	unknown
RUNX1	ENCSR588AKU_1	K562
MYCN	GSM2482828	unknown
RAD21	ENCSR703TNG_2	MCF-7
IRF1	GSM1057024	unknown
KLF17	ENCSR065WUF_2	HEK293
BRD4	GSM1527926	unknown
TARDBP	ENCSR412QBS_1	GM12878
SMAD1	GSM1505741	unknown
TET2	GSM897576	unknown
ZNF317	GSM2026855	unknown
IRF4	GSM803390	unknown
AR	GSM1410782	unknown
CTCF	GSM2730053	unknown
FOSL2	ENCSR563GCV_2	unknown
ZNF610	ENCSR691TXI_2	HEK293
POLR2A	GSM2571056	unknown
POLR2A	GSM1703608	unknown
SUZ12	GSM2409698	unknown
TP53	GSM1241481	unknown
RUNX1	GSM2326839	unknown
PAX5	GSM1086297	unknown
POLR2A	GSM2789804	unknown
KDM2B	GSM2805875	unknown
POLR2A	GSM2113335	unknown
CTCF	GSM2861703	unknown
POLR2A	GSM935426	unknown
POLR2A	GSM2218631	unknown
POLR2A	GSM1276022	unknown
RELA	GSM2419823	unknown
ZBTB48	GSM2543146	unknown
SMARCA4	GSM971343	unknown
FOXA1	GSM2242429	unknown
POLR2A	GSM2304876	unknown
EP300	GSM1067278	unknown
NELFA	GSM2465105	unknown
VDR	GSM558634	unknown
GABPA	GSM779432	unknown
FAIRE	GSM748513	unknown
OSR2	ENCSR324LTM_2	HEK293
RUNX1	GSM1888551	unknown
POLR2A	GSM2579073	unknown
TAF1	GSM1010811	unknown
POLR2A	GSM808769	unknown
TP63	GSM1139039	unknown
HOXB13	GSM2480818	unknown
MAFF	GSM935520	unknown
CTCF	GSM1224673	unknown
CTCF	ENCSR402IDP_2	MM.1S
CHD1	GSM1003623	unknown
BRD2	GSM1328969	unknown
HOTAIR	GSM820433	unknown
NR4A1	ENCSR130PDE_1	K562
FOXA1	GSM1068137	unknown
CEBPB	GSM2330566	unknown
CTCF	GSM534485	unknown
ESR1	GSM1858651	unknown
SUZ12	GSM2409674	unknown
GRHL2	GSM2970415	unknown
CLOCK	GSM1208719	unknown
GABPA	GSM1517550	unknown
FOXA1	GSM1858625	unknown
ASCL1	GSM1499400	unknown
MYC	GSM748552	unknown
RBPJ	GSM732905	unknown
ZMYM3	GSM2574783	unknown
CEBPA	GSM1333969	unknown
BCL3	ENCSR904OTM_2	unknown
STAT5B	GSM1577748	unknown
ZNF394	ENCSR125DNC_2	HEK293
ZFX	GSM2741772	unknown
HNF4A	GSM803460	unknown
TP53	GSM1142696	unknown
RPE	GSM1463920	unknown
ZNF680	ENCSR307CKC_1	HEK293
NR1H3	GSM2042848	unknown
NR3C1	GSM2735379	unknown
MYC	GSM1000576	unknown
FOXA1	GSM2058887	unknown
NR4A1	GSM2095923	unknown
KDM1A	ENCSR360HRA_2	K562
POLR2A	GSM1684633	unknown
POU5F1	GSM1705267	unknown
ZKSCAN1	ENCSR882ERE_2	K562
LANA	GSM1359492	unknown
CTCF	GSM970828	unknown
POLR2A	GSM1645717	unknown
TCF4	GSM1505791	unknown
FOXA1	GSM2277151	unknown
TAL1	GSM614003	unknown
ZSCAN20	ENCSR767HOP_2	unknown
PAX5	GSM1086295	unknown
POLR2A	GSM2265626	unknown
SPI1	GSM1334007	unknown
NRF1	GSM2574770	unknown
SSRP1	GSM1103544	unknown
MYC	GSM762709	unknown
RELA	GSM486316	unknown
KLF11	GSM1443813	unknown
ZBTB33	ENCSR345YWJ_1	liver
SMC1A	GSM2809612	unknown
POLR2A	GSM1265860	unknown
ZBTB33	GSM1334009	unknown
CTCF	GSM733672	unknown
MBD1	ENCSR396QWK_2	HepG2
FOXA1	GSM1164148	unknown
SMC1A	GSM1670708	unknown
CTCF	GSM489292	unknown
TEAD1	GSM1515741	unknown
BRD4	GSM1915118	unknown
RXRG	GSM2695655	unknown
PROX1	GSM1477597	unknown
SUZ12	GSM2409704	unknown
DNMT1	ENCSR987PBI_2	K562
FOXA1	GSM1716762	unknown
ESR1	GSM2670870	unknown
ZNF143	GSM779430	unknown
AR	GSM1586660	unknown
ZNF197	ENCSR580IAO_1	K562
ERG	GSM1097879	unknown
BCLAF1	GSM803515	unknown
POLR2A	GSM588577	unknown
ATF3	GSM803380	unknown
ERG	GSM1422482	unknown
FAIRE	GSM602298	unknown
CTCF	GSM1006883	unknown
POLR2A	GSM2712772	unknown
ZNF2	ENCSR011CKE_2	HEK293
SUMO2	GSM1777598	unknown
EP300	GSM803495	unknown
MYC	GSM2131215	unknown
CDK8	GSM1893926	unknown
SMARCA2	GSM2472120	unknown
SPI1	GSM1480737	unknown
KDM3A	GSM1525105	unknown
ZFX	GSM2741777	unknown
MAZ	GSM935272	unknown
BACH1	GSM935580	unknown
CREB1	GSM1010890	unknown
HDAC1	GSM717399	unknown
RAD21	GSM935319	unknown
SNAI2	GSM1336145	unknown
POLR2A	GSM486471	unknown
STAG1	GSM1234160	unknown
HDAC2	ENCSR075HTM_2	K562
STAT2	GSM935470	unknown
TFAP2A	GSM935367	unknown
TET2	GSM1937510	unknown
STAG1	GSM1234026	unknown
POLR2A	GSM486505	unknown
KDM2B	GSM1612060	unknown
POLR2A	GSM2670977	unknown
AR	GSM1691139	unknown
IRF1	ENCSR854MCV_1	K562
FOXA2	GSM2977490	unknown
GABPA	GSM1193662	unknown
BRD4	GSM2330587	unknown
POLR2A	GSM2909537	unknown
MED1	GSM1566729	unknown
CHD8	GSM1526890	unknown
PR	GSM2125120	unknown
ATF7IP	GSM2308950	unknown
CTCF	GSM2493879	unknown
POLR2A	GSM1523080	unknown
SUMO1	GSM1012762	unknown
SPI1	GSM1566552	unknown
POLR2A	GSM803459	unknown
GATA3	GSM720423	unknown
ZNF486	GSM1467731	unknown
POLR2A	GSM2913901	unknown
RPE	GSM2865076	unknown
NR2F1	GSM1817190	unknown
RUNX1	GSM1592327	unknown
VDR	GSM2371449	unknown
AR	GSM1909090	unknown
POLR2A	GSM935456	unknown
POLR2A	GSM1231601	unknown
POLR2A	GSM803361	unknown
MED1	GSM1847372	unknown
ZNF639	ENCSR845BCL_2	K562
CTCF	GSM646354	unknown
HDAC2	GSM717400	unknown
MYNN	ENCSR737LTZ_1	K562
ESR1	GSM1019131	unknown
POLR2A	GSM1022945	unknown
HES2	ENCSR686BIE_2	unknown
TCF4	GSM1072711	unknown
ETV5	GSM1239454	unknown
POLR2A	GSM2571049	unknown
ESR1	GSM1669142	unknown
OSR2	GSM2026829	unknown
NR2C2	GSM608156	unknown
BRD4	GSM2643541	unknown
MYC	GSM748534	unknown
RUNX1	GSM1045363	unknown
CTCF	GSM2599087	unknown
STAG1	GSM1234059	unknown
SETDB1	GSM697626	unknown
ESR1	GSM1669083	unknown
TAL1	GSM1038699	unknown
AR	GSM2427945	unknown
POLR2A	GSM2521496	unknown
STAT1	GSM2752893	unknown
POLR2A	GSM1466841	unknown
ZBTB48	GSM2543154	unknown
SPI1	GSM2592807	unknown
CTCF	GSM733695	unknown
RAD21	ENCSR917QNE_2	liver
CTCF	GSM749768	unknown
FOXP1	GSM1544539	unknown
STAT1	GSM320736	unknown
TP63	GSM2350362	unknown
NFE2L1	ENCSR557PSD_2	unknown
AR	GSM2235687	unknown
BCL3	ENCSR544GUO_3	A549
ELK1	ENCSR338QAC_2	unknown
BRD4	GSM1845161	unknown
BRD4	GSM1328962	unknown
TCF4	GSM1535697	unknown
MED1	GSM1705265	unknown
RARA	GSM468182	unknown
TFAP4	GSM2224583	unknown
MYC	GSM748527	unknown
GTF2I	GSM1539055	unknown
SRC	GSM959626	unknown
DNMT3A	GSM2228913	unknown
EP300	GSM447587	unknown
REST	GSM1010784	unknown
BCOR	GSM2805866	unknown
PAF1	GSM1727098	unknown
REST	GSM1333986	unknown
POLR2A	GSM1847369	unknown
ATF3	GSM803512	unknown
NIPBL	GSM1579365	unknown
FOXA1	GSM984391	unknown
POLR2A	GSM486485	unknown
ESR1	GSM1669079	unknown
MBD2	GSM1322266	unknown
RAD21	GSM2759387	unknown
CTCF	GSM749769	unknown
ZNF175	ENCSR011PEI_2	K562
BRD4	GSM1038273	unknown
TRIM24	GSM594605	unknown
BRD2	GSM2265637	unknown
POLR2A	GSM1872288	unknown
ESR1	GSM1669016	unknown
RXRA	GSM803506	unknown
NR2F1	GSM1817193	unknown
TAL1	GSM935496	unknown
TRIM24	ENCSR957LDM_1	K562
SUMO1	GSM1035424	unknown
SMC1A	GSM2247252	unknown
STAT5	GSM1056925	unknown
RXRA	GSM2877305	unknown
POLR2A	GSM1164244	unknown
GRHL2	GSM1125982	unknown
POLR2A	GSM1010821	unknown
MED1	GSM1121092	unknown
ZNF24	ENCSR984MDV_2	HEK293
CEBPB	GSM1684646	unknown
ESR1	GSM2125159	unknown
RB1	GSM497489	unknown
POLR2A	GSM1545661	unknown
RUNX1	GSM1534442	unknown
TAL1	GSM957614	unknown
FOXA1	GSM1691157	unknown
GRHL2	GSM2122802	unknown
BRD4	GSM1709939	unknown
POLR2A	GSM2370653	unknown
ERG	GSM1193657	unknown
SRC	GSM717978	unknown
POLR2A	GSM1975029	unknown
GABPA	GSM1517559	unknown
AR	GSM1207896	unknown
GATA1	GSM970258	unknown
CTCF	GSM1022639	unknown
MIER1	ENCSR426MDV_2	K562
PRDM10	ENCSR223TAV_2	HEK293
DPF2	ENCSR234VCE_2	MCF-7
POLR2A	GSM2066437	unknown
GATA6	GSM1250893	unknown
CTCF	GSM646314	unknown
ESR1	GSM1669015	unknown
POLR3D	GSM1906363	unknown
NELFA	GSM2465106	unknown
YAP1	GSM1542533	unknown
GATA1	GSM2877113	unknown
NR2F2	ENCSR168SMX_1	liver
PBX2	ENCSR633EIC_1	K562
FOXA1	GSM1410775	unknown
SETDB1	GSM935598	unknown
CTCF	GSM646393	unknown
BRD4	GSM1820917	unknown
EGR2	GSM2026760	unknown
POLR2A	GSM1777588	unknown
PKNOX1	ENCSR115SMW_2	K562
EZH2	GSM1508941	unknown
POLR2A	GSM486488	unknown
REST	GSM1782713	unknown
POLR2A	GSM1006865	unknown
POU5F1	ENCSR264RJX_1	GM23338
JUND	GSM935649	unknown
MAFG	ENCSR818DQV_1	K562
FAIRE	GSM1327351	unknown
STAG1	GSM1234178	unknown
LMO2	GSM1480745	unknown
ZNF800	ENCSR866WLH_1	unknown
CHD8	GSM1526891	unknown
POLR2A	GSM2113332	unknown
CTCF	GSM631477	unknown
EP300	GSM2330585	unknown
SMC3	GSM935310	unknown
REST	GSM1290148	unknown
RUNX1	GSM610334	unknown
POLR2A	GSM2519953	unknown
NIPBL	GSM1579364	unknown
CEBPB	ENCSR182OZC_1	unknown
HNF4A	GSM575228	unknown
SUPT5H	GSM2465101	unknown
CTCF	GSM749679	unknown
MYB	GSM1442006	unknown
RAD21	ENCSR917QNE_1	liver
HSF1	GSM951865	unknown
RELB	GSM2628091	unknown
EP300	GSM1003513	unknown
EED	GSM1045473	unknown
BRD3	GSM1247828	unknown
CBFB	GSM1122320	unknown
AR	GSM1328954	unknown
KDM4B	ENCSR642VZY_1	K562
TRIM28	GSM935592	unknown
MYC	GSM1722714	unknown
RAD21	GSM803447	unknown
AR	GSM1907199	unknown
SNAI2	GSM1336148	unknown
LMO2	GSM1501164	unknown
TRIM24	ENCSR907MZR_1	K562
TAL1	GSM614004	unknown
VDR	GSM558637	unknown
GABPA	ENCSR290MUH_1	K562
TEAD4	GSM2635693	unknown
ELL2	GSM1405088	unknown
ARNT	GSM856791	unknown
CTCF	GSM1006874	unknown
FAIRE	GSM748522	unknown
BRD4	GSM2214097	unknown
MCM3	ENCSR990AZC_2	K562
ESR1	GSM798425	unknown
POLR2A	GSM894086	unknown
MEF2B	GSM1647185	unknown
CBX6	GSM1295076	unknown
CHD8	GSM1526893	unknown
NRF1	GSM2574780	unknown
SUMO1	GSM1012768	unknown
RUNX1	GSM1252931	unknown
PRDM1	ENCSR098YLE_1	HEK293
MYC	GSM1429415	unknown
FOXA1	GSM2171829	unknown
BCAT1	GSM791408	unknown
POLR2A	ENCSR667UWT_1	transverse
BMI1	GSM1138594	unknown
PIAS1	GSM2219872	unknown
HES2	ENCSR078POK_1	unknown
POLR2A	GSM1545660	unknown
POLR2A	GSM1277993	unknown
GATA3	GSM986072	unknown
INSM2	ENCSR382GSF_2	HEK293
FOXP1	GSM768311	unknown
FOXA1	GSM588929	unknown
CREBBP	GSM959628	unknown
RFX5	GSM935560	unknown
ELL2	GSM1405091	unknown
POLR2A	GSM2589147	unknown
ZBTB40	ENCSR525YFS_1	HepG2
HSF1	GSM951897	unknown
MYC	GSM1715545	unknown
ZBTB6	GSM2026808	unknown
ELF1	GSM803415	unknown
ESR1	GSM2797104	unknown
SIN3A	ENCSR920BLG_2	K562
SPI1	GSM1642765	unknown
POLR2A	GSM2473252	unknown
EZH2	GSM1129360	unknown
CDK8	GSM937561	unknown
PBX2	ENCSR263DFP_2	K562
CTCF	GSM1010774	unknown
AR	GSM2219852	unknown
GATA4	GSM1250892	unknown
POLR2A	GSM1892290	unknown
EP300	ENCSR124VXG_1	unknown
